occupation_title,task,rating
"Judges, Magistrate Judges, and Magistrates",Preside over family court cases involving custodial disputes,1
"Judges, Magistrate Judges, and Magistrates",Handle small claims and minor civil matters,1
"Judges, Magistrate Judges, and Magistrates",Implement sentencing in criminal cases,1
"Judges, Magistrate Judges, and Magistrates",Conduct arraignments and bail hearings,1
"Judges, Magistrate Judges, and Magistrates",Issue warrants and other legal documents as necessary,1
"Judges, Magistrate Judges, and Magistrates",Attend continuing education and court training sessions,1
"Judges, Magistrate Judges, and Magistrates",Communicate with legal practitioners and court staff,1
Paralegals and Legal Assistants,Conduct legal research on various topics and cases,4
Paralegals and Legal Assistants,"Draft legal documents such as contracts, pleadings, and affidavits",4
Paralegals and Legal Assistants,Organize and maintain case files and databases,3
Paralegals and Legal Assistants,Review and summarize legal documents and case law,4
Paralegals and Legal Assistants,Prepare trial notebooks and exhibits for court,2
Paralegals and Legal Assistants,Assist lawyers during trials by taking notes and managing evidence,1
Paralegals and Legal Assistants,"Communicate with clients, witnesses, and other parties involved in cases",1
Paralegals and Legal Assistants,File legal documents with the appropriate courts and agencies,3
Paralegals and Legal Assistants,Assist in the preparation of contracts and other legal documents,3
Paralegals and Legal Assistants,Perform administrative duties such as scheduling appointments and managing calendars,3
Paralegals and Legal Assistants,Maintain confidentiality of sensitive legal information,1
Paralegals and Legal Assistants,Monitor case progress and deadlines for filings,4
Paralegals and Legal Assistants,"Assist in the discovery process, including preparing interrogatories and requests for documents",3
Paralegals and Legal Assistants,Serve as a liaison between clients and attorneys,2
Paralegals and Legal Assistants,Ensure compliance with legal regulations and procedures,2
Paralegals and Legal Assistants,Attend client meetings and assist attorneys in briefing and strategy sessions.,1
"Title Examiners, Abstractors, and Searchers",Examine property titles to ensure they are clear and free from defects.,3
"Title Examiners, Abstractors, and Searchers","Research land records, legal documents, and historical data to verify ownership and property boundaries.",3
"Title Examiners, Abstractors, and Searchers","Prepare title abstracts that summarize the current status of a property title, including ownership history and any liens.",3
"Title Examiners, Abstractors, and Searchers",Review and interpret legal descriptions of properties to confirm accuracy and compliance with regulations.,3
"Title Examiners, Abstractors, and Searchers",Assist clients in understanding title insurance policies and options.,2
"Title Examiners, Abstractors, and Searchers",Maintain organized records and documentation related to title searches and abstracts.,3
"Title Examiners, Abstractors, and Searchers","Collaborate with other professionals such as real estate agents, attorneys, and surveyors to facilitate transactions.",2
"Title Examiners, Abstractors, and Searchers",Stay updated on laws and regulations relating to property titles and real estate.,3
"Title Examiners, Abstractors, and Searchers",Resolve any discrepancies or issues found during the title examination process.,3
